Date,Country,City,Specie,count,min,max,median,variance
21-11-2021,BRAZIL,São José dos Campos,humidity,72,56,93,77,1671.11
05-12-2021,BRAZIL,São José dos Campos,humidity,72,45,88,77,1582.75
07-12-2021,BRAZIL,São José dos Campos,humidity,42,88,93,88,52.26
21-02-2021,BRAZIL,São José dos Campos,humidity,96,45,100,73,1726.16
28-02-2021,BRAZIL,São José dos Campos,humidity,96,48,100,83,2868
16-03-2021,BRAZIL,São José dos Campos,humidity,96,45,100,83,2749.67
26-05-2021,BRAZIL,São José dos Campos,humidity,96,38,100,87,4655.15
19-07-2021,BRAZIL,São José dos Campos,humidity,96,12,100,49,8880.52
06-11-2021,BRAZIL,São José dos Campos,humidity,72,30,93,72,4836.55
23-03-2021,BRAZIL,São José dos Campos,humidity,96,40,100,78,3324.61
20-04-2021,BRAZIL,São José dos Campos,humidity,96,60,100,87,1284.83
24-04-2021,BRAZIL,São José dos Campos,humidity,96,41,100,82,2332.82
17-05-2021,BRAZIL,São José dos Campos,humidity,96,38,100,72,4802.52
02-12-2021,BRAZIL,São José dos Campos,humidity,72,48,93,82,1856.51
16-02-2021,BRAZIL,São José dos Campos,humidity,96,45,100,78,3744.26
28-03-2021,BRAZIL,São José dos Campos,humidity,92,40,100,82,3204.26
28-05-2021,BRAZIL,São José dos Campos,humidity,96,39,100,57,5521.64
05-11-2021,BRAZIL,São José dos Campos,humidity,72,45,93,82,2858.01
14-04-2021,BRAZIL,São José dos Campos,humidity,96,56,100,72,1286.95
29-05-2021,BRAZIL,São José dos Campos,humidity,96,48,88,57,1711.72
29-12-2020,BRAZIL,São José dos Campos,humidity,96,58,100,83,1340.82
09-01-2021,BRAZIL,São José dos Campos,humidity,96,55,94,83,1119.14
30-03-2021,BRAZIL,São José dos Campos,humidity,96,42,100,88,3534.32
31-03-2021,BRAZIL,São José dos Campos,humidity,96,53,100,77,1998.58
06-04-2021,BRAZIL,São José dos Campos,humidity,96,68,100,93,1193.34
19-05-2021,BRAZIL,São José dos Campos,humidity,96,31,100,87,4258.46
31-05-2021,BRAZIL,São José dos Campos,humidity,96,56,100,79.5,1644.91
05-06-2021,BRAZIL,São José dos Campos,humidity,96,36,100,77,4503.21
10-01-2021,BRAZIL,São José dos Campos,humidity,76,55,94,85.5,2054.51
21-01-2021,BRAZIL,São José dos Campos,humidity,96,31,93,73,3568.4
23-01-2021,BRAZIL,São José dos Campos,humidity,96,45,100,83,2467.26
04-04-2021,BRAZIL,São José dos Campos,humidity,96,50,93,72,2181.46
13-06-2021,BRAZIL,São José dos Campos,humidity,96,52,100,82,2301.32
07-09-2021,BRAZIL,São José dos Campos,humidity,96,47,93,77,2390.74
30-09-2021,BRAZIL,São José dos Campos,humidity,86,50,93,82,1809.74
20-01-2021,BRAZIL,São José dos Campos,humidity,96,48,100,83,1847.58
30-05-2021,BRAZIL,São José dos Campos,humidity,96,73,100,88,431.37
13-08-2021,BRAZIL,São José dos Campos,humidity,96,82,100,87,234.75
15-09-2021,BRAZIL,São José dos Campos,humidity,96,73,93,82,419.09
15-01-2021,BRAZIL,São José dos Campos,humidity,96,69,100,93,741.69
10-05-2021,BRAZIL,São José dos Campos,humidity,96,53,100,88,3081.11
05-08-2021,BRAZIL,São José dos Campos,humidity,96,52,93,87,1759.89
05-01-2021,BRAZIL,São José dos Campos,humidity,96,45,93,69,2640.77
03-06-2021,BRAZIL,São José dos Campos,humidity,96,34,100,82,4659.16
18-06-2021,BRAZIL,São José dos Campos,humidity,96,49,100,87,2649.75
30-06-2021,BRAZIL,São José dos Campos,humidity,96,33,93,70,3220.98
10-04-2021,BRAZIL,São José dos Campos,humidity,96,37,88,73,4433.95
17-04-2021,BRAZIL,São José dos Campos,humidity,96,41,93,77,3349.46
15-06-2021,BRAZIL,São José dos Campos,humidity,96,53,100,87,2047.09
15-07-2021,BRAZIL,São José dos Campos,humidity,96,22,93,72,5958.16
11-11-2021,BRAZIL,São José dos Campos,humidity,72,79.5,93,88,128.22
30-12-2020,BRAZIL,São José dos Campos,humidity,96,33,93,61,4500.19
18-01-2021,BRAZIL,São José dos Campos,humidity,96,48,83,73,1942.72
04-02-2021,BRAZIL,São José dos Campos,humidity,96,52,100,65,3533.46
23-02-2021,BRAZIL,São José dos Campos,humidity,92,29,100,65,5473.28
25-09-2021,BRAZIL,São José dos Campos,humidity,96,56,93,88,560.84
02-10-2021,BRAZIL,São José dos Campos,humidity,72,57,100,88,2646.18
23-11-2021,BRAZIL,São José dos Campos,humidity,72,21,87,44,5099
24-01-2021,BRAZIL,São José dos Campos,humidity,96,48,100,93,2516.22
